"species"	"species_name"	"abundance"	"IUCN.status"	"mass.g"	"home.range"	"density"	"extant"	"longevity"	"litter"	"loctype"	"diet.cat"	"shannon"	"simpson"
"Neogale vison"	"Neogale_vison"	0.018864	""	950.2266003	0.902269988	NA	1	NA	5	NA	NA	NA	NA
"Nyctereutes procyonoides"	"Nyctereutes_procyonoides"	0.001934	"LC"	4203.627705	2.745330891	NA	1	16.6	6	"t"	"4"	0.788711814	0.007135209
"Otocyon megalotis"	"Otocyon_megalotis"	0.010432	"LC"	3249.352059	4.73974872	0.857	1	17	3.5	"t"	"5"	0	1
"Panthera atrox"	"Panthera_atrox"	0.299959	""	61616.89061	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Panthera leo"	"Panthera_leo"	0.003322	"VU"	147353.6049	669.2561157	0.006	1	27	2.5	"sc"	"2"	0	1
"Panthera onca"	"Panthera_onca"	0.001493	"NT"	65406.10817	89.50359505	0.029140247	1	28	2	"sc"	"2"	0.101130164	0.125326118
"Panthera pardus"	"Panthera_pardus"	0.016397	"NT"	32655.3998	30.01405621	0.016792856	1	27.3	2.6	"sc"	"2"	0.030920367	0.2052179
"Panthera spelaea"	"Panthera_spelaea"	0.001743	""	61616.89061	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Panthera tigris"	"Panthera_tigris"	0.010468	"EN"	167650.47	153.842924	0.684992097	1	26.3	2.65	"t"	"2"	0.032262857	0.194430418
"Paradoxurus hermaphroditus"	"Paradoxurus_hermaphroditus"	0	"LC"	2361.475443	0.419042431	NA	1	NA	NA	NA	NA	NA	NA
"Parahyaena brunnea"	"Parahyaena_brunnea"	0.075	"NT"	48006.18604	NA	NA	1	NA	NA	"t"	NA	NA	NA
"Pekania pennanti"	"Martes_pennanti"	0.002193	""	3815.231188	NA	NA	1	14.3	3	"sc"	"3"	0.776818664	0.00485605
"Potos flavus"	"Potos_flavus"	NA	"LC"	1739.89543	0.263666456	NA	1	38.4	1.5	"a"	"1"	0.09711947	0.129369905
"Prionailurus bengalensis"	"Prionailurus_bengalensis"	0.001022	"LC"	3376.331132	4.740099529	1.348894861	1	NA	2.5	"sc"	"2"	0.683843481	0.012866887
"Prionailurus viverrinus"	"Prionailurus_viverrinus"	NA	"EN"	8165	NA	NA	1	NA	2.5	NA	NA	NA	NA
"Procyon cancrivorus"	"Procyon_cancrivorus"	NA	"LC"	4995.650575	0.793246828	0.200375561	1	NA	NA	"sc"	"4"	0.704658488	0.01102478
"Procyon lotor"	"Procyon_lotor"	0.058225	"LC"	5493.094685	2.087122025	2.133950516	1	21	3.8	"sc"	"4"	0.85515152	0.002313672
"Proteles cristata"	"Proteles_cristata"	0	"LC"	9119.90698	3.8	1	1	20	2.8	"t"	"5"	0.082650374	0.131004167
"Puma concolor"	"Puma_concolor"	0.003662	"LC"	48721.38099	179.26253	0.038807698	1	23.8	2.8	"sc"	"2"	0.008565331	0.28127455
"Smilodon fatalis"	"Smilodon_fatalis"	0.004272	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Smilodon populator"	"Smilodon_populator"	0.049751	""	NA	NA	NA	0	NA	NA	"t"	NA	NA	NA
"Spilogale gracilis"	"Spilogale_gracilis"	0.102941	"LC"	632.759881	NA	NA	1	NA	3.8	"t"	NA	NA	NA
"Spilogale putorius"	"Spilogale_putorius"	0.03776	"LC"	632.759881	1.217826473	NA	1	10.5	5.5	"t"	NA	NA	NA
