Sus scrofa
Sus verrucosus
Sylvicapra grimmia
Syncerus caffer
Tamandua mexicana
Tamandua tetradactyla
Tapirus bairdii
Tapirus indicus
Tapirus pinchaque
Tapirus terrestris
Taurotragus derbianus
Taurotragus oryx
Taxidea taxus
Tayassu pecari
Tetracerus quadricornis
Thylogale billardierii
Thylogale brunii
Thylogale thetis
Tolypeutes matacus
Tolypeutes tricinctus
Trachypithecus auratus
Trachypithecus phayrei
Tragelaphus eurycerus
Tragelaphus imberbis
Tragelaphus scriptus
Tragelaphus spekii
Tragelaphus strepsiceros
Tragulus kanchil
Tragulus napu
Tragulus williamsoni
Tremarctos ornatus
Urocyon cinereoargenteus
Ursus americanus
Ursus arctos
Ursus maritimus
Ursus thibetanus
Urva edwardsii
Vicugna vicugna
Viverra megaspila
Viverra tangalunga
Viverra zibetha
Viverricula indica
Vombatus ursinus
Vormela peregusna
Vulpes bengalensis
Vulpes cana
Vulpes chama
Vulpes corsac
Vulpes ferrilata
Vulpes lagopus
Vulpes macrotis
Vulpes rueppellii
Vulpes velox
Vulpes vulpes
Vulpes zerda
Wallabia bicolor
Zaedyus pichiy
