species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Urocyon cinereoargenteus	carnivore			941	20	34	0.4706	19	18.33	70.26	39.9	15.4	-76.4	-115.7	8.000	28.000	495.0	3250.0	0.152315	0.085692	0.123850	0.264302	0.592233	0.131325	0.020548	LC	4072.8954137392	56	species	3933.39141225004	27	4207.22252112897	29		626.287877429414	133.551488198372			311.795365584545	938.083243013959		frugivore	carnivore	species	1.02874647513133	2.24454895246239	0.696462920193065				tropical/subtropical coniferous forest
Ursus americanus	carnivore			4159	15	36	0.3333	13	15.92	78.49	63.5	30.0	-76.4	-145.9	-0.949999999999999	18.000	500.0	1301.0	0.260573	0.119347	0.128000	0.257137	0.692699	0.211987	0.030644	LC	114572.469258853	139	species	89240	39	126300	100									browser	invertivore	species	58.7996585780123	48.9	112.1		1.29178639032187		temperate coniferous forest
Ursus arctos	carnivore			480	14	59	0.1864	14	34.56	145.52	68.8	34.2	96.3	-148.8	-9.000	17.000	203.0	1898.0	0.137378	0.122387	0.136962	0.348666	0.657895	0.018419	0.008730	LC	155513.794562456	200	species	122759.744199725	106	203045.866407055	94									frugivore	carnivore	species	29.6965460952732	25.0793691787206	135.897019834874		6.00929116051839	0.03034	temperate coniferous forest
Ursus thibetanus	carnivore			578	16	29	0.4483	15	16.20	62.35	35.2	13.3	110.3	70.9	11.500	28.000	735.0	2340.0	0.067131	0.054410	0.057751	0.151864	0.258621	0.048506	0.003356	VU	62755.2439615441	52	species	56682.1436901733	30	72098.7724857798	22		1297.53065801212							browser	frugivore	species	47.3132516476664	117.1	41.567884735259			0.07	tropical/subtropical moist broadleaf forest
Urva brachyura	carnivore			71	8	17	0.3529	6	9.57	24.00	5.3	-0.4	117.5	101.9	25.200	27.000	2017.0	4147.0	0.025865	0.039595	0.036959	0.091270	0.190476	0.015276	0.000978		534.496267360109		genus																						
Urva edwardsii	carnivore			35	3	3	0.0000	3	13.06	24.07	25.5	11.6	85.8	74.4	21.5	21.5	760.0	1542.0	0.014433	0.009515	0.007299	0.013385	0.019471	0.014109	0.004313		534.496267360109		genus						381																
Urva javanica	carnivore			54	9	29	0.2069	9	14.12	56.53	22.3	-7.1	114.2	86.4	17.500	28.000	1500.0	3500.0	0.008427	0.013547	0.009009	0.022727	0.066667	0.005176	0.000594		534.496267360109	57	species	430.58	23	618.67	34		328.942381860258		65.8801660241873		241.374701674812	571.953607563383											
Urva semitorquata	carnivore			36	4	7	0.1429	3	5.16	10.44	5.3	-0.0	117.5	112.8	25.200	27.000	2890.0	3098.0	0.017991	0.013364	0.022323	0.033633	0.041667	0.001883	0.000637		534.496267360109		genus																						
Urva smithii	carnivore			61	1			1			11.6	11.6	76.6	76.6	21.5	21.5	1500.0	1500.0	0.042420	0.042420	0.042420	0.042420	0.042420		0.008472		534.496267360109		genus																						
Urva urva	carnivore			264	11	12	0.5833	11	9.03	38.92	27.9	13.3	114.2	96.6	18.4	28.000	1350.0	2340.0	0.043709	0.070192	0.076389	0.126421	0.333333	0.064400	0.002654		534.496267360109		genus																						
Urva vitticolla	carnivore			120	2	1	0.0000	2	1.40	1.32	11.6	10.4	77.0	76.6	21.5	21.5	1500.0	3497.0	0.082645	0.132041	0.147824	0.147824	0.214286	0.142857	0.016472		534.496267360109		genus																						
Viverra megaspila	carnivore			352	8	14	0.3571	7	6.64	18.22	14.4	3.0	107.5	101.4	21.000	28.000	1500.0	2300.0	0.253055	0.159440	0.233608	0.670683	0.950000	0.125324	0.019838	VU	6478.42979563524		genus													invertivore	frugivore	genus							
Viverra tangalunga	carnivore			1220	17	20	0.6500	14	9.97	35.74	5.4	-5.2	123.2	101.9	25.200	29.5	1750.0	4147.0	0.292988	0.336286	0.357143	0.500000	1.000000	0.264318	0.013299	LC	5950.50689444383	10	species	5755.60756395659	5	6152.00600585817	5	42.0708403107036	705.697644562257	106.427297723684			347.619180464721	1053.31682502698		invertivore	frugivore	species	1.3865662312892	1.62080227048212	1.24953283876339				tropical/subtropical moist broadleaf forest
