species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Lynx canadensis	carnivore			2039	4	3	0.6667	4	4.29	20.11	63.8	55.5	-110.5	-146.6	-0.949999999999999				0.179127	0.056850	0.069271	0.135823	0.195604	0.073652	0.017942	LC	9705.22248193975	212	species	8771.21100056241	108	10780.5684386765	104		772.974914819914	225.722112546811			101.449382143751	874.424296963666		carnivore		genus							
Lynx lynx	carnivore			293	8	13	0.3846	8	25.14	72.06	46.2	36.5	96.3	10.8	-0.800	15.400	50.0	1898.0	0.076203	0.027604	0.028947	0.141770	0.426136	0.031541	0.008399	LC	16332.4929303159	15	species	15247.4993433924	11	19731.0674691135	4		1168							carnivore		species	277.709110196508	207.498088336141	575.479946303181	6.56378651791892	1.99922863091403		temperate coniferous forest
Lynx rufus	carnivore			464	24	37	0.5405	22	16.49	86.70	46.2	17.8	-76.4	-122.1	2.000	22.5	436.0	1301.0	0.063018	0.045549	0.054346	0.126986	0.747573	0.053301	0.008550	LC	9008.93254249226	51	species	7504.70230365086	31	11883.9093653278	18	67.3133653067414	734.864106369232	167.425941866646			154.716534220921	889.580640590153		carnivore		species	12.5314353716927	9.90563317071903	16.6166362090017	4.6	1.36434630513835	0.35523233446616	temperate broadleaf/mixed forest,desert/xeric shrubland,temperate savanna
Martes americana	carnivore			23	3	2	0.5000	3	5.06	18.68	63.8	56.3	-112.7	-146.6	-0.949999999999999				0.015700	0.014213	0.016353	0.023802	0.031250	0.021277	0.000436	LC	946.071295158671	16	species	737	6	1099	10									carnivore	frugivore	genus							
Martes flavigula	carnivore			1447	29	62	0.4194	26	22.53	113.94	35.2	-7.1	118.2	70.9	11.500	29.5	735.0	4147.0	0.116384	0.040751	0.051852	0.126866	0.321101	0.065231	0.005732	LC	2812.66193139165	5	species	2600	1	2868.49159683382	4									carnivore		species	8.9445468526581	13.3	8.1		0.86138036934815		tropical/subtropical dry broadleaf forest
Martes foina	carnivore			286	10	23	0.2609	9	30.61	96.06	47.4	30.3	96.3	-1.9	-4.000	17.000	203.0	1200.0	0.087811	0.064025	0.067473	0.211862	0.700000	0.035856	0.015752	LC	1349.91044681275	4	species	1198.95788082818	2	1519.86841535707	2									carnivore	frugivore	species	2.4807786516706	2.17612040108079	2.70722745814542				Mediterranean woodland
Martes martes	carnivore			17	2	3	0.0000	2	15.30	19.48	46.1	41.2	32.3	6.1	8.800	8.800	1200.0	1200.0	0.087179	0.041117	0.082418	0.082418	0.153846	0.000000	0.010167	LC	1491.8444505926	8	species	1200	3	1700	5									carnivore	frugivore	species	1.39432730246625	0.473	7.057	2.1	0.4215		Mediterranean woodland
Martes melampus	carnivore			9	1			1			35.4	35.4	138.8	138.8	10.100	10.100	1480.0	1480.0	0.066667	0.066667	0.066667	0.066667	0.066667		0.010817	LC	1721.28991855874		genus													carnivore	frugivore	genus							
Martes zibellina	carnivore			83	1			1			48.9	48.9	87.4	87.4	-0.200		1060.0	1060.0	0.441489	0.441489	0.441489	0.441489	0.441489		0.006913	LC	1721.28991855874		genus													carnivore	frugivore	genus							
Meles anakuma	carnivore			45	1			1			35.4	35.4	138.8	138.8	10.100	10.100	1480.0	1480.0	0.333333	0.333333	0.333333	0.333333	0.333333		0.054087	LC	7510.18847820221		genus													carnivore		genus							
Meles leucurus	carnivore			695	7	14	0.2857	6	17.59	52.53	48.9	27.9	130.7	87.4	-0.200	15.300	923.0	1964.0	0.090248	0.068820	0.060748	0.223980	0.310540	0.072389	0.003997	LC	5998.278172599	3	species			5998.278172599	3									carnivore		genus	1.25940637191541		1.25940637191541				temperate broadleaf/mixed forest
Meles meles	carnivore			1596	14	15	0.6667	13	12.63	49.94	52.9	31.5	35.8	-1.9	4.000	17.000	589.0	1200.0	0.305923	0.086959	0.091601	0.225729	0.842310	0.309845	0.064138	LC	10521.7308247926	83	species	9800.00000000001	44	11400	39							855.939177057176		carnivore		species	1.71709642842734	3.39702658797619	4.30468309391518	4.82728424634408		4.3501255083354	temperate coniferous forest,temperate broadleaf/mixed forest,Mediterranean woodland
Mellivora capensis	carnivore			273	25	40	0.5250	20	35.55	166.27	25.5	-34.0	86.4	-11.5	16.200	26	68.0	1900.0	0.047445	0.028545	0.030303	0.073454	0.660714	0.024267	0.008150	LC	7732.72883573929	18	species	6360.06448857659	10	9872.379878629	8	30.0554018980099	754.852302915659	112.50131616588	137.475089291358		173.292077741539	928.144380657199		carnivore		species	194.538480763936	112.812015144805	423.718261066546	11.2063425791904	3.27653669083955	0.034	desert/xeric shrubland
Melogale moschata	carnivore			934	6	7	0.2857	6	10.61	31.21	33.7	22.3	120.9	106.9	10	22.3	924.0	4192.0	0.098440	0.107749	0.142887	0.313837	0.857143	0.093628	0.004857	LC	1049.46128725721	42	species	1035.77821680142	20	1062.0572367859	22		115.769662232971				204.703050599919	320.472712832889		invertivore		species	0.310515976456394	0.296594933565552	0.320157808178398	2.14446572203155	0.0980416384999445		temperate broadleaf/mixed forest
Melogale orientalis	carnivore			34	1			1			-7.1	-7.1	107.8	107.8	17.500	17.500	2885.0	2885.0	0.386364	0.386364	0.386364	0.386364	0.386364		0.048227	DD	1049.46128725721		genus													invertivore		genus							
Melogale personata	carnivore			1	1			1			24.6	24.6	92.3	92.3	20.5	20.5	3334.0	3334.0	0.058824	0.058824	0.058824	0.058824	0.058824		0.003215	DD	1049.46128725721		genus													invertivore		genus							
Melursus ursinus	carnivore			247	3	4	0.0000	3	8.32	14.92	21.4	10.4	86.4	76.6	21.5	23.200	1500.0	3497.0	0.135491	0.150695	0.148122	0.216918	0.285714	0.094216	0.018032	VU	67052.0946512037	10	species	57196.1350648469	4	74549.1667503536	6									invertivore	frugivore	species	3.02967833246574	2.37916618618457	3.55940726378856				tropical/subtropical dry broadleaf forest
Mephitis macroura	carnivore			48	8	13	0.4615	7	6.51	23.54	30.9	16.6	-94.9	-109.9	14.000	27.600	495.0	1610.0	0.037471	0.020997	0.014493	0.071405	0.116279	0.017733	0.002588	LC	1008.20722082598	8	species	879.224094818657	4	1156.11231097493	4									carnivore	invertivore	genus	0.130983934474883	0.034	0.257091423427543				tropical/subtropical dry broadleaf forest
Mephitis mephitis	carnivore			158	12	29	0.2759	10	16.60	67.14	52.6	27.4	-73.4	-109.9	2.000	22.5	436.0	1010.0	0.030859	0.028467	0.030335	0.073018	0.262500	0.016353	0.006187	LC	1480.82948243273	24	species	1374	8	1537.31976977874	16	23.4520787991172	440.670354328321	65.4522726878143			230.954540981553	671.624895309875		carnivore	invertivore	species	2.83889921999148	2.61338800031541	3.26941283958109	2.17823259423789		0.8121019	temperate broadleaf/mixed forest,temperate savanna
Mungos gambianus	carnivore			22	2	1	0.0000	2	1.41	1.46	9.6	8.7	1.8	0.7	27.800	27.800	1104.0	1350.0	0.016692	0.015247	0.024125	0.024125	0.042821	0.040302	0.002366	LC	1471.19622828731		genus													invertivore	carnivore	genus							
Mungos mungo	carnivore			64	7	23	0.1739	6	26.69	79.91	12.9	-29.8	36.9	-11.5	19.9	21.000	500.0	1500.0	0.024942	0.019908	0.025000	0.033410	0.038087	0.002559	0.008554	LC	1471.19622828731	51	species	1419.19005409094	27	1531.98460918641	24									invertivore	carnivore	species	0.804			2.3		17.4	tropical/subtropical savanna
Mustela altaica	carnivore			66	2	1	0.0000	2	12.21	8.65	38.9	32.9	104.1	96.3	-0.800	14.700	203.0	867.0	0.074915	0.027472	0.046727	0.046727	0.084525	0.000000	0.004726	NT	237.443227718732		genus													carnivore		species							
Mustela erminea	carnivore			9	2			2	11.19	21.32	49.7	46.2	-88.2	-119.9	2.600	4.300	640.0	860.0	0.007853	0.051299	0.501316	0.501316	1.000000		0.001332	LC	120.959777257161	10	species	87.18922108557	4	154.688297422643	5	9.74003746425297	180.94306634068	38.6115540394466			64.2891455877013	245.232211928381		carnivore	invertivore	genus	0.110603564574577	0.0423165797815537	0.178812718696561				temperate broadleaf/mixed forest
Mustela kathiah	carnivore			22	4	2	0.5000	4	8.62	20.59	27.9	22.3	114.2	98.7	22.000	22.3	1350.0	2120.0	0.004557	0.005147	0.004619	0.006966	0.009259	0.006849	0.000241	LC	237.443227718732		genus													carnivore	invertivore	genus							
Mustela nivalis	carnivore			9	5	39	0.0769	5	39.20	109.56	53.8	34.1	35.8	-105.8	0.400	16.030	467.0	1159.0	0.003586	0.020049	0.003289	1.000000	1.000000	0.000601	0.000421	LC	77.5269177152937	18	species	44.2672767880129	4	96.9265206946562	13	11	216.087472784012	23			34	250.087472784012	8.44985206971104	carnivore		species	0.20090128997702		0.20090128997702	0.52103659878014	0.24543495420164		temperate broadleaf/mixed forest
