species	species_name	mass.g	home.range	extant	loctype	pc	litter	diet.cat	shannon	simpson	abundance	longevity	activity	soc.complexity	gr.size	ges.days	interbirth.days	weaning.days	eqm	BMRres	afrotropic	australasia	indomalaya	neotropic	nearctic	palearctic
Mephitis macroura	Mephitis_macroura	0.27899762	0.142446683	1	t	NA	0.576923077	NA	NA	NA	0.897755154	NA	Noc	NA	NA	NA	NA	NA	NA	-0.026047973	0	0	0	1	1	0
Mephitis mephitis	Mephitis_mephitis	0.32080736	0.451377975	1	t	0.804086284	0.743589744	NA	NA	NA	0.900981929	0.145714286	Noc	1	0	0.381842422	0.484437008	0.337431415	-0.642015442	0.087348945	0	0	0	0	1	0
Mungos mungo	Mungos_mungo	0.320097543	0.324678723	1	sf	0.722718632	0.358974359	5	0.422551844	0.036222378	0.904167071	0.245714286	Diu	6	0.977397137	0.353275165	0.484437008	0	-0.322713772	-0.088913023	1	0	0	0	0	0
Mustela erminea	Mustela_erminea	0.048379187	0.125461787	1	t	0.37889086	0.448717949	NA	NA	NA	0.907311641	0.105714286	Cath/Cre	1	0	0.372936066	0.484437008	0.37205783	-0.376734588	-0.003126961	0	0	0	0	1	1
Mustela eversmanii	Mustela_eversmanii	0.334803901	NA	1	t	0.612538621	0.756410256	NA	NA	NA	NA	NA	Noc	NA	NA	NA	NA	NA	NA	-0.166346014	0	0	0	0	0	1
Mustela frenata	Mustela_frenata	0.067061559	NA	1	t	0.612538621	0.448717949	NA	NA	NA	0.916511935	0	Cath/Cre	1	0	0	0.484437008	0.171730638	0.007704474	-0.018594416	0	0	0	1	1	0
Mustela nivalis	Mustela_nivalis	0	0.185404355	1	t	0.648750398	0.615384615	NA	NA	NA	0.919504052	0.008571429	Cath/Cre	1	0	0.138719751	0.349431937	0.196314939	0.110525491	-0.006717718	0	0	0	0	1	1
Mustela putorius	Mustela_putorius	0.23636115	0.404313523	1	t	0.500349423	0.641025641	NA	NA	NA	0.925381641	0.065714286	Noc	1	0	0.201611242	0.311511763	0.332610543	-0.07555335	0.128145253	0	0	0	0	0	1
Mustela sibirica	Mustela_sibirica	0.214445533	0	1	t	0.409624728	0.512820513	3	0.976918615	0	0.928268779	0	Cath/Cre	1	0	0.133413999	0.484437008	0.356132247	0.003388921	-0.047050066	0	0	1	0	0	1
Nasua nasua	Nasua_nasua	0.438962531	0.232088526	1	sc	0.108927029	0.320512821	4	0.576649957	0.015131635	0.931122542	0.425714286	Diu	6	0.924986014	0.420977307	0.484437008	0.587103403	0.264104614	-0.086132993	0	0	0	1	0	0
Nasuella olivacea	Nasuella_olivacea	0.309938047	NA	1	sa	NA	NA	NA	NA	NA	0.933943693	NA	Diu	NA	NA	NA	NA	NA	0.63785538	-0.032014979	0	0	0	1	0	0
Neovison vison	Neovison_vison	0.268213588	0.336259718	1	sa	0.37889086	0.512820513	NA	NA	NA	0.93673297	0.074285714	Noc	1	0	0.319105848	0.484437008	0.242800212	-0.277895696	-0.066408409	0	0	0	0	1	0
Nyctereutes procyonoides	Nyctereutes_procyonoides	0.434279655	0.448012099	1	t	0.741435847	0.641025641	4	0.788711814	0.007135209	0.939491084	0.222857143	Noc	3	0.214021611	0.353275165	0.484437008	0.30121241	-0.148320069	0.113566194	0	0	0	0	0	1
Otocyon megalotis	Otocyon_megalotis	0.406275279	0.502854966	1	t	0.642996029	0.320512821	5	0	1	0.942218724	0.234285714	Cath/Cre	4	0.450373522	0.379081898	0.159152976	0.24658454	-0.036064791	0.039826182	1	0	0	0	0	0
Panthera atrox	Panthera_atrox	0.881042944	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	0.097650626	0	0	0	1	1	0
Panthera leo	Panthera_leo	0.806355956	1	1	sc	0.163390543	0.192307692	2	0	1	0.947585224	0.52	Noc	6	0.667964745	0.561749889	0.809721039	0.781254306	-0.040763059	0.098230314	1	0	0	0	0	1
Panthera onca	Panthera_onca	0.732784563	0.797946823	1	sc	0	0.128205128	2	0.101130164	0.125326118	0.955422389	0.548571429	Cath/Cre	1	0	0.522339866	0.484437008	0.700006269	-0.101036593	0.087961363	0	0	0	1	1	0
Panthera pardus	Panthera_pardus	0.656395152	0.688216102	1	sc	0	0.205128205	2	0.030920367	0.2052179	0.957980448	0.528571429	Cath/Cre	1	0	0.51082975	0.60940661	0.617623971	0.047875941	0.099823476	1	0	1	0	0	1
Panthera spelaea	Panthera_spelaea	0.912213653	NA	0	t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.072819149	0	0	0	0	0	1
