"","species","species_name","extant","IUCN.status","mass.g","BMR","eq","abundance","density","home.range","loctype","diet.cat","shannon","simpson","activity","soc.complexity","gr.size","ges.days","interbirth.days","weaning.days","longevity","litter","Afrotropic","Indomalaya","Nearctic","Neotropic","Palearctic","Lat","georange"
"Lycalopex_sechurae","Lycalopex sechurae","Lycalopex_sechurae",1,"Near Threatened",5377.240866,1469.835444,NA,NA,NA,NA,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,-7.4,NA
"Lycaon_pictus","Lycaon pictus","Lycaon_pictus",1,"Endangered",25819.44304,5680.360804,0.59308381,0,0.0151,659,"t",2,0.017826484,0.239470861,"Diu",5,8,72,355.87,27.28,15.1,8.8,1,0,0,0,0,-27.616676,10539675.81
"Lynx_canadensis","Lynx canadensis","Lynx_canadensis",1,"Least Concern",9705.222482,2712.388023,0.163517286,0.017905851,0.06325,NA,"t",NA,NA,NA,"Noc",0,1,63.4,365,111.36,26.8,3.5,0,0,1,0,0,40.73,8252985.31
"Lynx_lynx","Lynx lynx","Lynx_lynx",1,"Least Concern",16332.49293,3145.017852,0.074538715,0.008169935,0.749666667,277.7091102,"sc",2,0.07767872,0.134853781,"Cath/Cre",0,1,70,365,81.85,23.7,2.3,0,0,1,0,1,45.616676,23827627.14
"Lynx_pardinus","Lynx pardinus","Lynx_pardinus",1,"Endangered",11528.43036,2794.934188,NA,NA,NA,NA,"sc",2,0.206413606,0.072405607,"Cath/Cre",NA,NA,NA,NA,NA,NA,3,0,0,0,0,1,37.065565,NA
"Lynx_rufus","Lynx rufus","Lynx_rufus",1,"Least Concern",9008.932542,4051.049995,0.2810245,0.008106714,0.355232334,12.53143537,"sc",2,0.163189496,0.082900391,"Cath/Cre",0,1,62,365,59.99,32.3,2.5,0,0,1,0,0,35.216679,9702533.02
"Martes_americana","Martes americana","Martes_americana",1,"Least Concern",946.0712952,617.6811599,0.217845706,0.000379219,NA,NA,"sr",2,0.387023071,0.040661209,"Cath/Cre",0,1,247.5,365,45.73,NA,2.6,0,0,1,0,0,41.7750115,7620172.14
"Martes_caurina","Martes caurina","Martes_caurina",1,"Least Concern",1721.289919,429.1406836,NA,NA,NA,NA,"sr",5,0.625883863,0.012396438,"Cath/Cre",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,39.48,NA
"Martes_flavigula","Martes flavigula","Martes_flavigula",1,"Least Concern",2812.661931,1222.557133,0.129549713,0.00561483,NA,8.944546853,"sc",1,0.731483893,0.008047453,"Diu",3,2,255,182.5,89.49,NA,2.5,0,0,0,0,1,36.445427,5260689.7
"Martes_foina","Martes foina","Martes_foina",1,"Least Concern",1349.910447,742.909069,0.256032227,0.015196564,5.8,2.480778652,"sc",1,0.660177262,0.007481861,"Cath/Cre",0,1,252.5,365,74.11,18.2,3.5,0,0,0,0,1,32.843899,7011029.37
"Martes_martes","Martes martes","Martes_martes",1,"Least Concern",1491.844451,706.4840005,0.228048974,0.008971292,0.758333333,1.394327302,"sr",5,0.839208828,0.002652597,"Noc",0,1,252.5,365,54.19,18.2,3.3,0,0,0,0,1,46.133343,8361437.29
"Martes_zibellina","Martes zibellina","Martes_zibellina",1,"Least Concern",1721.289919,671.9394553,0.146859277,0.006829918,NA,NA,"sc",5,0.535403977,0.024760775,"Cath/Cre",0,1,275,365,52.23,18.4,3,0,0,0,0,1,51.85001,6492749.47
"Meles_leucurus","Meles leucurus","Meles_leucurus",1,"Least Concern",5998.278173,2246.908271,NA,0.003956636,NA,1.259406372,"sf",3,0.507150223,0.030948187,"Noc",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,38.681679,NA
"Meles_meles","Meles meles","Meles_meles",1,"Least Concern",10521.73082,2863.697999,-0.114846753,0.063574988,4.350125508,1.717096428,"sf",1,0.840614471,0.003838997,"Cath/Cre",NA,NA,NA,NA,NA,18.6,3,0,0,0,0,1,41.598064,NA
"Mellivora_capensis","Mellivora capensis","Mellivora_capensis",1,"Least Concern",7732.728836,2430.511442,0.527093856,0.007404532,0.034,194.5384808,"sf",5,0.749171045,0.003710219,"Cath/Cre",1,1,60,182.5,23.86,NA,2.5,1,0,0,0,0,-27.616676,27823522.11
"Melursus_ursinus","Melursus ursinus","Melursus_ursinus",1,"Vulnerable",67052.09465,8097.797999,0.308640205,0.017812819,0.145255814,3.029678332,"sc",3,0.185374202,0.078906769,"Cath/Cre",0,1,203.4,1095,194.67,33.3,NA,0,1,0,0,0,23.333344,417387.69
"Mephitis_macroura","Mephitis macroura","Mephitis_macroura",1,"Least Concern",1008.207221,620.6122619,NA,0.002157265,NA,0.130983934,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,5.5,0,0,1,0,0,30.17,NA
"Mephitis_mephitis","Mephitis mephitis","Mephitis_mephitis",1,"Least Concern",1480.829482,1446.906001,-0.642015442,0.005717642,0.8121019,2.83889922,"t",NA,NA,NA,"Noc",0,1,68,365,55.15,13.9,6.8,0,0,1,0,0,37.039999,12277338.73
"Miracinonyx_trumani","Miracinonyx trumani","Miracinonyx_trumani",0,"Extinct",NA,NA,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,38.48,NA
"Mungos_mungo","Mungos mungo","Mungos_mungo",1,"Least Concern",1471.196228,530.4051412,-0.322713772,0.007618284,17.4,0.804,"sf",3,0.422551844,0.036222378,"Diu",5,23.7,63,365,20.88,17.4,3.8,1,0,0,0,0,-20.613616,15894555.38
"Mustela_altaica","Mustela altaica","Mustela_altaica",1,"Near Threatened",237.4432277,203.4648301,-0.020637387,NA,NA,NA,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,4,0,0,0,0,1,51.442787,NA
"Mustela_erminea","Mustela erminea","Mustela_erminea",1,"Least Concern",120.9597773,230.5872001,-0.376734588,0.001953125,NA,0.110603565,"t",NA,NA,NA,"Cath/Cre",0,1,66.4,365,60.93,12.5,4.5,0,0,1,0,1,59.933342,39718064.94
"Mustela_eversmanii","Mustela eversmanii","Mustela_eversmanii",1,"Least Concern",237.4432277,367.1326804,NA,NA,NA,NA,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,6.9,0,0,0,0,1,51.442787,NA
"Mustela_nivalis","Mustela nivalis","Mustela_nivalis",1,"Least Concern",77.52691772,178.6224817,0.110525491,0,NA,0.20090129,"t",NA,NA,NA,"Cath/Cre",0,1,35.5,273.75,36.74,9.1,5.8,0,0,1,0,1,53.033344,43656881.02
"Mustela_putorius","Mustela putorius","Mustela_putorius",1,"Least Concern",681.2291775,1210.146062,-0.07555335,0.000124502,NA,1.77674893,"t",NA,NA,NA,"Noc",0,1,42,252.5,54.39,11.1,6,0,0,0,0,1,36.719999,7565541.29
"Mustela_sibirica","Mustela sibirica","Mustela_sibirica",1,"Least Concern",556.9029092,402.6262851,0.003388921,0.000394256,27.22052518,0.031712206,"t",5,0.976918615,0,"Cath/Cre",0,1,35,365,58.2,8.8,5,0,0,0,0,1,40.7741775,20179461.96
"Nasua_nasua","Nasua nasua","Nasua_nasua",1,"Least Concern",4388.579501,959.8239998,0.264104614,0.004900794,5.486485083,0.319787997,"sc",1,0.576649957,0.015131635,"Diu",5,20,75.5,365,113.15,23.7,3.5,0,0,0,1,0,2.3677875,10694990.22
"Nasuella_olivacea","Nasuella olivacea","Nasuella_olivacea",1,"Near Threatened",NA,697.2402116,0.63785538,0.00101833,NA,NA,"sa",NA,NA,NA,"Diu",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0.133343,NA
"Neofelis_nebulosa","Neofelis nebulosa","Neofelis_nebulosa",1,"Vulnerable",12844.17086,3638.807063,0.080602569,NA,0.026691748,36.06306838,"a",2,NA,NA,"Cath/Cre",0,1,91.5,390,111.67,19.8,3,0,1,0,0,0,21.8120935,2913590.85
"Mustela_frenata","Neogale frenata","Mustela_frenata",1,"Least Concern",143.6295152,231.2755199,0.007704474,0.001668057,7.722,NA,"sf",2,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,4.5,0,0,1,1,0,38.366676,NA
